,dataset,movie,shot,scale_label,scale_val,move_label,move_val,total_frames,fps,trailer_duration,frame_height,frame_width,frame_channels
19,train,tt2006040,0052,FS,3,Static,4,22.0,24.0,0.9,720.0,1280.0,3
20,train,tt2006040,0054,ECS,0,Static,4,20.0,24.0,0.8,720.0,1280.0,3
21,train,tt2006802,0010,MS,2,Static,4,77.0,24.0,3.2,720.0,1280.0,3
22,train,tt2006802,0011,MS,2,Static,4,49.0,24.0,2.0,720.0,1280.0,3
23,train,tt2006810,0004,MS,2,Static,4,19.0,25.0,0.8,1080.0,1920.0,3
24,train,tt2006810,0008,MS,2,Static,4,27.0,25.0,1.1,1080.0,1920.0,3
25,train,tt2006810,0025,FS,3,Motion,0,31.0,25.0,1.2,1080.0,1920.0,3
26,train,tt2006810,0027,MS,2,Static,4,31.0,25.0,1.2,1080.0,1920.0,3
27,train,tt2006810,0038,FS,3,Static,4,30.0,25.0,1.2,1080.0,1920.0,3
28,train,tt2007421,0009,ECS,0,Motion,0,30.0,25.0,1.2,1080.0,1920.0,3
29,train,tt2007421,0027,FS,3,Motion,0,30.0,25.0,1.2,1080.0,1920.0,3
30,train,tt2007421,0041,CS,1,Motion,0,14.0,25.0,0.6,1080.0,1920.0,3
31,train,tt2007421,0042,ECS,0,Static,4,14.0,25.0,0.6,1080.0,1920.0,3
32,train,tt2008513,0006,FS,3,Motion,0,27.0,24.0,1.1,1080.0,1920.0,3
33,train,tt2008513,0012,ECS,0,Static,4,22.0,24.0,0.9,1080.0,1920.0,3
34,train,tt2008513,0025,ECS,0,Static,4,20.0,24.0,0.8,1080.0,1920.0,3
35,train,tt2008513,0033,CS,1,Static,4,14.0,24.0,0.6,1080.0,1920.0,3
36,train,tt2008513,0042,ECS,0,Motion,0,21.0,24.0,0.9,1080.0,1920.0,3
37,train,tt2008513,0044,MS,2,Static,4,28.0,24.0,1.2,1080.0,1920.0,3
38,train,tt2008513,0045,FS,3,Static,4,22.0,24.0,0.9,1080.0,1920.0,3
39,train,tt2008513,0047,FS,3,Motion,0,35.0,24.0,1.5,1080.0,1920.0,3
40,train,tt2008655,0002,CS,1,Motion,0,47.0,24.0,2.0,720.0,1280.0,3
41,train,tt2008655,0014,MS,2,Motion,0,21.0,24.0,0.9,720.0,1280.0,3
42,train,tt2008655,0024,MS,2,Static,4,47.0,24.0,2.0,720.0,1280.0,3
43,train,tt2008655,0037,CS,1,Static,4,27.0,24.0,1.1,720.0,1280.0,3
44,train,tt2008655,0043,CS,1,Static,4,35.0,24.0,1.5,720.0,1280.0,3
45,train,tt2008655,0044,MS,2,Static,4,53.0,24.0,2.2,720.0,1280.0,3
46,train,tt2008655,0065,MS,2,Static,4,24.0,24.0,1.0,720.0,1280.0,3
47,train,tt2008655,0072,FS,3,Static,4,43.0,24.0,1.8,720.0,1280.0,3
48,train,tt2010939,0015,ECS,0,Static,4,27.0,24.0,1.1,1080.0,1920.0,3
49,train,tt2010939,0027,ECS,0,Push,1,61.0,24.0,2.5,1080.0,1920.0,3
50,train,tt2011138,0006,ECS,0,Static,4,73.0,24.0,3.0,1080.0,1920.0,3
51,train,tt2011159,0076,MS,2,Static,4,38.0,30.0,1.3,1080.0,1920.0,3
52,train,tt2011159,0106,MS,2,Static,4,14.0,30.0,0.5,1080.0,1920.0,3
53,train,tt2011300,0004,CS,1,Static,4,60.0,24.0,2.5,720.0,1280.0,3
54,train,tt2011300,0010,MS,2,Static,4,44.0,24.0,1.8,720.0,1280.0,3
55,train,tt2011300,0026,MS,2,Static,4,72.0,24.0,3.0,720.0,1280.0,3
56,train,tt2011300,0051,CS,1,Static,4,126.0,24.0,5.2,720.0,1280.0,3
57,train,tt2011953,0008,ECS,0,Static,4,40.0,24.0,1.7,720.0,1280.0,3
58,train,tt2011953,0010,ECS,0,Motion,0,71.0,24.0,3.0,720.0,1280.0,3
59,train,tt2011961,0005,MS,2,Motion,0,66.0,24.0,2.8,1080.0,1920.0,3
60,train,tt2011961,0008,LS,4,Motion,0,27.0,24.0,1.1,1080.0,1920.0,3
61,train,tt2011961,0009,FS,3,Static,4,30.0,24.0,1.2,1080.0,1920.0,3
62,train,tt2011961,0059,ECS,0,Motion,0,16.0,24.0,0.7,1080.0,1920.0,3
63,train,tt2011961,0066,FS,3,Static,4,29.0,24.0,1.2,1080.0,1920.0,3
64,train,tt2011961,0078,LS,4,Static,4,15.0,24.0,0.6,1080.0,1920.0,3
65,train,tt2011961,0083,MS,2,Static,4,27.0,24.0,1.1,1080.0,1920.0,3
66,train,tt2011961,0084,MS,2,Motion,0,37.0,24.0,1.5,1080.0,1920.0,3
67,train,tt2012011,0002,LS,4,Motion,0,48.0,24.0,2.0,1080.0,1920.0,3
68,train,tt2012011,0007,ECS,0,Static,4,31.0,24.0,1.3,1080.0,1920.0,3
69,train,tt2012011,0021,MS,2,Static,4,75.0,24.0,3.1,1080.0,1920.0,3
70,train,tt2012011,0026,ECS,0,Static,4,16.0,24.0,0.7,1080.0,1920.0,3
71,train,tt2012011,0028,LS,4,Static,4,34.0,24.0,1.4,1080.0,1920.0,3
72,train,tt2012011,0033,ECS,0,Static,4,24.0,24.0,1.0,1080.0,1920.0,3
73,train,tt2012011,0046,LS,4,Static,4,19.0,24.0,0.8,1080.0,1920.0,3
74,train,tt2012011,0053,MS,2,Static,4,21.0,24.0,0.9,1080.0,1920.0,3
75,train,tt2012665,0010,MS,2,Static,4,35.0,24.0,1.5,1080.0,1920.0,3
76,train,tt2012665,0039,LS,4,Static,4,48.0,24.0,2.0,1080.0,1920.0,3
77,train,tt2012665,0044,CS,1,Static,4,30.0,24.0,1.2,1080.0,1920.0,3
78,train,tt2012665,0071,FS,3,Static,4,25.0,24.0,1.0,1080.0,1920.0,3
79,train,tt2012665,0083,ECS,0,Static,4,16.0,24.0,0.7,1080.0,1920.0,3
80,train,tt2014225,0005,MS,2,Static,4,31.0,24.0,1.3,1080.0,1920.0,3
81,train,tt2014225,0012,ECS,0,Static,4,17.0,24.0,0.7,1080.0,1920.0,3
82,train,tt2014225,0021,ECS,0,Static,4,32.0,24.0,1.3,1080.0,1920.0,3
83,train,tt2014225,0043,ECS,0,Static,4,17.0,24.0,0.7,1080.0,1920.0,3
84,train,tt2014225,0052,LS,4,Motion,0,81.0,24.0,3.4,1080.0,1920.0,3
85,train,tt2014248,0021,FS,3,Static,4,55.0,30.0,1.8,1080.0,1920.0,3
86,train,tt2014248,0027,ECS,0,Motion,0,149.0,30.0,5.0,1080.0,1920.0,3
87,train,tt2014266,0002,MS,2,Static,4,15.0,25.0,0.6,720.0,1280.0,3
88,train,tt2014266,0014,ECS,0,Push,1,72.0,25.0,2.9,720.0,1280.0,3
89,train,tt2014266,0019,MS,2,Static,4,22.0,25.0,0.9,720.0,1280.0,3
90,train,tt2014266,0021,MS,2,Motion,0,36.0,25.0,1.4,720.0,1280.0,3
91,train,tt2014266,0038,MS,2,Static,4,20.0,25.0,0.8,720.0,1280.0,3
92,train,tt2014266,0050,FS,3,Static,4,16.0,25.0,0.6,720.0,1280.0,3
93,train,tt2014266,0053,MS,2,Static,4,17.0,25.0,0.7,720.0,1280.0,3
94,train,tt2014266,0065,ECS,0,Motion,0,34.0,25.0,1.4,720.0,1280.0,3
95,train,tt2014319,0007,CS,1,Motion,0,69.0,24.0,2.9,720.0,1280.0,3
96,train,tt2014319,0015,FS,3,Motion,0,151.0,24.0,6.3,720.0,1280.0,3
97,train,tt2014319,0030,FS,3,Static,4,18.0,24.0,0.8,720.0,1280.0,3
98,train,tt2014338,0011,FS,3,Static,4,24.0,30.0,0.8,720.0,1280.0,3
99,train,tt2014338,0017,CS,1,Motion,0,44.0,30.0,1.5,720.0,1280.0,3
100,train,tt2015366,0009,ECS,0,Static,4,39.0,24.0,1.6,1080.0,1920.0,3
101,train,tt2015366,0016,FS,3,Motion,0,34.0,24.0,1.4,1080.0,1920.0,3
102,train,tt2015366,0036,ECS,0,Static,4,31.0,24.0,1.3,1080.0,1920.0,3
103,train,tt2015366,0043,ECS,0,Motion,0,32.0,24.0,1.3,1080.0,1920.0,3
104,train,tt2015366,0046,LS,4,Motion,0,48.0,24.0,2.0,1080.0,1920.0,3
105,train,tt2015370,0016,FS,3,Push,1,20.0,24.0,0.8,1080.0,1920.0,3
106,train,tt2015370,0022,ECS,0,Static,4,30.0,24.0,1.2,1080.0,1920.0,3
107,train,tt2015370,0034,FS,3,Motion,0,21.0,24.0,0.9,1080.0,1920.0,3
108,train,tt2015370,0049,CS,1,Static,4,23.0,24.0,1.0,1080.0,1920.0,3
109,train,tt2015370,0054,FS,3,Static,4,17.0,24.0,0.7,1080.0,1920.0,3
110,train,tt2015370,0072,FS,3,Static,4,34.0,24.0,1.4,1080.0,1920.0,3
111,train,tt2015370,0089,ECS,0,Static,4,20.0,24.0,0.8,1080.0,1920.0,3
112,train,tt2015474,0005,MS,2,Static,4,31.0,24.0,1.3,720.0,1280.0,3
113,train,tt2015474,0007,MS,2,Static,4,20.0,24.0,0.8,720.0,1280.0,3
114,train,tt2015474,0012,LS,4,Static,4,32.0,24.0,1.3,720.0,1280.0,3
115,train,tt2015474,0014,MS,2,Static,4,31.0,24.0,1.3,720.0,1280.0,3
116,train,tt2015474,0026,MS,2,Static,4,25.0,24.0,1.0,720.0,1280.0,3
117,train,tt2015474,0027,MS,2,Static,4,36.0,24.0,1.5,720.0,1280.0,3
118,train,tt2015474,0036,FS,3,Static,4,24.0,24.0,1.0,720.0,1280.0,3
119,train,tt2015474,0051,ECS,0,Static,4,17.0,24.0,0.7,720.0,1280.0,3
120,train,tt2015503,0024,MS,2,Motion,0,41.0,24.0,1.7,720.0,1280.0,3
121,train,tt2015503,0030,MS,2,Static,4,43.0,24.0,1.8,720.0,1280.0,3
122,train,tt2015503,0067,ECS,0,Static,4,16.0,24.0,0.7,720.0,1280.0,3
123,train,tt2017020,0024,FS,3,Motion,0,42.0,25.0,1.7,1080.0,1920.0,3
124,train,tt2017020,0036,LS,4,Motion,0,22.0,25.0,0.9,1080.0,1920.0,3
125,train,tt2017020,0068,FS,3,Motion,0,14.0,25.0,0.6,1080.0,1920.0,3
126,train,tt2017020,0069,LS,4,Static,4,15.0,25.0,0.6,1080.0,1920.0,3
127,train,tt2017038,0012,LS,4,Motion,0,44.0,24.0,1.8,720.0,1280.0,3
128,train,tt2017038,0013,CS,1,Static,4,64.0,24.0,2.7,720.0,1280.0,3
129,train,tt2017038,0027,CS,1,Static,4,17.0,24.0,0.7,720.0,1280.0,3
130,train,tt2017561,0004,LS,4,Motion,0,41.0,24.0,1.7,1080.0,1920.0,3
131,train,tt2017561,0012,FS,3,Static,4,23.0,24.0,1.0,1080.0,1920.0,3
132,train,tt2017561,0015,MS,2,Motion,0,41.0,24.0,1.7,1080.0,1920.0,3
133,train,tt2017561,0037,FS,3,Motion,0,16.0,24.0,0.7,1080.0,1920.0,3
134,train,tt2017561,0057,LS,4,Static,4,16.0,24.0,0.7,1080.0,1920.0,3
135,train,tt2017561,0061,FS,3,Static,4,15.0,24.0,0.6,1080.0,1920.0,3
136,train,tt2017709,0008,ECS,0,Static,4,182.0,24.0,7.6,720.0,1280.0,3
137,train,tt2017709,0009,ECS,0,Static,4,284.0,24.0,11.8,720.0,1280.0,3
138,train,tt2017709,0013,ECS,0,Static,4,58.0,24.0,2.4,720.0,1280.0,3
139,train,tt2017709,0015,LS,4,Motion,0,96.0,24.0,4.0,720.0,1280.0,3
140,train,tt2017709,0018,ECS,0,Static,4,129.0,24.0,5.4,720.0,1280.0,3
141,train,tt2017709,0020,LS,4,Motion,0,47.0,24.0,2.0,720.0,1280.0,3
142,train,tt2018136,0004,ECS,0,Static,4,28.0,25.0,1.1,720.0,1280.0,3
143,train,tt2018136,0010,MS,2,Static,4,17.0,25.0,0.7,720.0,1280.0,3
144,train,tt2018136,0016,CS,1,Motion,0,22.0,25.0,0.9,720.0,1280.0,3
145,train,tt2018136,0057,CS,1,Push,1,14.0,25.0,0.6,720.0,1280.0,3
146,train,tt2018164,0002,FS,3,Static,4,95.0,25.0,3.8,1080.0,1920.0,3
147,train,tt2018164,0009,FS,3,Motion,0,77.0,25.0,3.1,1080.0,1920.0,3
148,train,tt2018164,0011,ECS,0,Static,4,43.0,25.0,1.7,1080.0,1920.0,3
149,train,tt2023561,0026,ECS,0,Motion,0,17.0,25.0,0.7,720.0,1280.0,3
150,train,tt2023561,0028,CS,1,Static,4,16.0,25.0,0.6,720.0,1280.0,3
151,train,tt2023561,0033,MS,2,Static,4,62.0,25.0,2.5,720.0,1280.0,3
152,train,tt2023561,0034,ECS,0,Static,4,16.0,25.0,0.6,720.0,1280.0,3
153,train,tt2023561,0037,ECS,0,Static,4,17.0,25.0,0.7,720.0,1280.0,3
154,train,tt2023561,0045,ECS,0,Static,4,20.0,25.0,0.8,720.0,1280.0,3
155,train,tt2023561,0060,MS,2,Pull,2,46.0,25.0,1.8,720.0,1280.0,3
156,train,tt2023618,0015,MS,2,Static,4,100.0,24.0,4.2,720.0,1280.0,3
157,train,tt2023618,0026,CS,1,Static,4,47.0,24.0,2.0,720.0,1280.0,3
158,train,tt2023620,0001,LS,4,Motion,0,64.0,24.0,2.7,1080.0,1920.0,3
159,train,tt2023620,0023,ECS,0,Static,4,35.0,24.0,1.5,1080.0,1920.0,3
160,train,tt2023620,0034,CS,1,Motion,0,24.0,24.0,1.0,1080.0,1920.0,3
161,train,tt2023620,0044,LS,4,Static,4,30.0,24.0,1.2,1080.0,1920.0,3
162,train,tt2023620,0056,LS,4,Static,4,17.0,24.0,0.7,1080.0,1920.0,3
163,train,tt2023650,0002,MS,2,Static,4,57.0,25.0,2.3,720.0,1280.0,3
164,train,tt2023659,0018,CS,1,Static,4,23.0,24.0,1.0,1080.0,1920.0,3
165,train,tt2023659,0029,CS,1,Motion,0,27.0,24.0,1.1,1080.0,1920.0,3
166,train,tt2023659,0052,MS,2,Static,4,145.0,24.0,6.0,1080.0,1920.0,3
167,train,tt2024351,0012,MS,2,Motion,0,27.0,24.0,1.1,720.0,1280.0,3
168,train,tt2024351,0022,ECS,0,Push,1,22.0,24.0,0.9,720.0,1280.0,3
169,train,tt2024351,0024,CS,1,Static,4,22.0,24.0,0.9,720.0,1280.0,3
170,train,tt2024354,0043,FS,3,Static,4,23.0,24.0,1.0,1080.0,1920.0,3
171,train,tt2024354,0068,MS,2,Static,4,29.0,24.0,1.2,1080.0,1920.0,3
172,train,tt2024396,0011,MS,2,Motion,0,43.0,24.0,1.8,720.0,1280.0,3
173,train,tt2024469,0013,ECS,0,Static,4,52.0,24.0,2.2,720.0,1280.0,3
174,train,tt2024519,0063,ECS,0,Motion,0,53.0,25.0,2.1,720.0,1280.0,3
175,train,tt2024519,0069,FS,3,Static,4,18.0,25.0,0.7,720.0,1280.0,3
176,train,tt2024519,0077,ECS,0,Static,4,53.0,25.0,2.1,720.0,1280.0,3
177,train,tt2025511,0007,MS,2,Static,4,36.0,24.0,1.5,720.0,1280.0,3
178,train,tt2025511,0015,CS,1,Static,4,58.0,24.0,2.4,720.0,1280.0,3
179,train,tt2025511,0026,CS,1,Static,4,55.0,24.0,2.3,720.0,1280.0,3
180,train,tt2025667,0011,ECS,0,Static,4,24.0,24.0,1.0,804.0,1920.0,3
181,train,tt2025667,0020,LS,4,Motion,0,20.0,24.0,0.8,804.0,1920.0,3
182,train,tt2025667,0024,CS,1,Static,4,27.0,24.0,1.1,804.0,1920.0,3
183,train,tt2025667,0027,ECS,0,Static,4,25.0,24.0,1.0,804.0,1920.0,3
184,train,tt2027138,0028,MS,2,Static,4,40.0,25.0,1.6,1080.0,1920.0,3
185,train,tt2028530,0003,CS,1,Static,4,31.0,30.0,1.0,720.0,1280.0,3
186,train,tt2028530,0008,ECS,0,Static,4,22.0,30.0,0.7,720.0,1280.0,3
187,train,tt2028530,0012,ECS,0,Static,4,70.0,30.0,2.3,720.0,1280.0,3
188,train,tt2028530,0016,MS,2,Static,4,74.0,30.0,2.5,720.0,1280.0,3
189,train,tt2028530,0017,ECS,0,Static,4,57.0,30.0,1.9,720.0,1280.0,3
190,train,tt2028530,0021,FS,3,Static,4,39.0,30.0,1.3,720.0,1280.0,3
191,train,tt2028530,0031,MS,2,Static,4,32.0,30.0,1.1,720.0,1280.0,3
192,train,tt2032452,0001,FS,3,Push,1,33.0,24.0,1.4,1080.0,1920.0,3
193,train,tt2032452,0003,ECS,0,Static,4,30.0,24.0,1.2,1080.0,1920.0,3
194,train,tt2032452,0004,ECS,0,Static,4,25.0,24.0,1.0,1080.0,1920.0,3
195,train,tt2032452,0010,FS,3,Static,4,26.0,24.0,1.1,1080.0,1920.0,3
196,train,tt2032452,0025,CS,1,Static,4,38.0,24.0,1.6,1080.0,1920.0,3
197,train,tt2032452,0029,MS,2,Static,4,19.0,24.0,0.8,1080.0,1920.0,3
198,train,tt2032452,0032,CS,1,Static,4,21.0,24.0,0.9,1080.0,1920.0,3
199,train,tt2032452,0066,CS,1,Static,4,26.0,24.0,1.1,1080.0,1920.0,3
200,train,tt2032452,0088,ECS,0,Static,4,26.0,24.0,1.1,1080.0,1920.0,3
201,train,tt2032452,0105,FS,3,Static,4,19.0,24.0,0.8,1080.0,1920.0,3
202,train,tt2032506,0005,ECS,0,Static,4,163.0,30.0,5.4,1080.0,1920.0,3
203,train,tt2032506,0023,FS,3,Motion,0,59.0,30.0,2.0,1080.0,1920.0,3
204,train,tt2033952,0006,CS,1,Static,4,96.0,30.0,3.2,1080.0,1920.0,3
205,train,tt2033952,0011,MS,2,Motion,0,40.0,30.0,1.3,1080.0,1920.0,3
206,train,tt2033981,0038,CS,1,Static,4,88.0,24.0,3.7,720.0,960.0,3
207,train,tt2033981,0044,FS,3,Static,4,25.0,24.0,1.0,720.0,960.0,3
208,train,tt2033981,0069,MS,2,Pull,2,35.0,24.0,1.5,720.0,960.0,3
209,train,tt2034139,0044,CS,1,Static,4,58.0,24.0,2.4,1080.0,1920.0,3
210,train,tt2034139,0062,CS,1,Static,4,33.0,24.0,1.4,1080.0,1920.0,3
211,train,tt2034139,0068,ECS,0,Static,4,20.0,24.0,0.8,1080.0,1920.0,3
212,train,tt2034139,0079,CS,1,Static,4,70.0,24.0,2.9,1080.0,1920.0,3
213,train,tt2034761,0003,LS,4,Motion,0,48.0,25.0,1.9,1080.0,1920.0,3
214,train,tt2034761,0008,LS,4,Motion,0,39.0,25.0,1.6,1080.0,1920.0,3
215,train,tt2034761,0017,LS,4,Motion,0,64.0,25.0,2.6,1080.0,1920.0,3
216,train,tt2034761,0029,CS,1,Static,4,15.0,25.0,0.6,1080.0,1920.0,3
217,train,tt2034800,0025,LS,4,Static,4,17.0,25.0,0.7,1080.0,1920.0,3
218,train,tt2036401,0001,FS,3,Static,4,47.0,25.0,1.9,720.0,1280.0,3
219,train,tt2036401,0002,CS,1,Static,4,62.0,25.0,2.5,720.0,1280.0,3
220,train,tt2036401,0021,CS,1,Static,4,40.0,25.0,1.6,720.0,1280.0,3
221,train,tt2036401,0034,FS,3,Push,1,32.0,25.0,1.3,720.0,1280.0,3
222,train,tt2036408,0010,LS,4,Motion,0,49.0,25.0,2.0,1080.0,1920.0,3
223,train,tt2036408,0053,CS,1,Static,4,21.0,25.0,0.8,1080.0,1920.0,3
224,train,tt2036408,0054,ECS,0,Static,4,21.0,25.0,0.8,1080.0,1920.0,3
225,train,tt2036408,0063,LS,4,Static,4,15.0,25.0,0.6,1080.0,1920.0,3
226,train,tt2036408,0072,FS,3,Push,1,26.0,25.0,1.0,1080.0,1920.0,3
227,train,tt2036408,0073,FS,3,Motion,0,19.0,25.0,0.8,1080.0,1920.0,3
228,train,tt2036408,0077,CS,1,Static,4,26.0,25.0,1.0,1080.0,1920.0,3
229,train,tt2036408,0088,CS,1,Static,4,25.0,25.0,1.0,1080.0,1920.0,3
230,train,tt2036408,0090,MS,2,Static,4,52.0,25.0,2.1,1080.0,1920.0,3
231,train,tt2036408,0111,ECS,0,Static,4,22.0,25.0,0.9,1080.0,1920.0,3
232,train,tt2036408,0112,FS,3,Static,4,18.0,25.0,0.7,1080.0,1920.0,3
233,train,tt2039369,0002,LS,4,Motion,0,30.0,24.0,1.2,720.0,1280.0,3
234,train,tt2039369,0017,MS,2,Static,4,32.0,24.0,1.3,720.0,1280.0,3
235,train,tt2039369,0026,MS,2,Motion,0,17.0,24.0,0.7,720.0,1280.0,3
236,train,tt2039369,0037,CS,1,Static,4,40.0,24.0,1.7,720.0,1280.0,3
237,train,tt2039369,0046,LS,4,Motion,0,15.0,24.0,0.6,720.0,1280.0,3
238,train,tt2039369,0049,CS,1,Static,4,22.0,24.0,0.9,720.0,1280.0,3
239,train,tt2040367,0002,MS,2,Static,4,28.0,30.0,0.9,720.0,1280.0,3
240,train,tt2040367,0038,MS,2,Static,4,26.0,30.0,0.9,720.0,1280.0,3
241,train,tt2040367,0042,MS,2,Static,4,66.0,30.0,2.2,720.0,1280.0,3
242,train,tt2040367,0056,LS,4,Static,4,35.0,30.0,1.2,720.0,1280.0,3
243,train,tt2040367,0062,FS,3,Static,4,26.0,30.0,0.9,720.0,1280.0,3
244,train,tt2040367,0064,MS,2,Static,4,26.0,30.0,0.9,720.0,1280.0,3
245,train,tt2040367,0070,MS,2,Static,4,22.0,30.0,0.7,720.0,1280.0,3
246,train,tt2040367,0078,FS,3,Static,4,28.0,30.0,0.9,720.0,1280.0,3
247,train,tt2040504,0004,LS,4,Motion,0,44.0,24.0,1.8,720.0,1280.0,3
248,train,tt2040504,0009,FS,3,Motion,0,31.0,24.0,1.3,720.0,1280.0,3
249,train,tt2040504,0018,MS,2,Static,4,46.0,24.0,1.9,720.0,1280.0,3
250,train,tt2040504,0028,CS,1,Motion,0,15.0,24.0,0.6,720.0,1280.0,3
251,train,tt2040504,0041,CS,1,Static,4,64.0,24.0,2.7,720.0,1280.0,3
252,train,tt2040504,0049,LS,4,Static,4,45.0,24.0,1.9,720.0,1280.0,3
253,train,tt2040504,0052,MS,2,Static,4,59.0,24.0,2.5,720.0,1280.0,3
254,train,tt2040504,0084,MS,2,Static,4,32.0,24.0,1.3,720.0,1280.0,3
255,train,tt2040504,0085,LS,4,Motion,0,50.0,24.0,2.1,720.0,1280.0,3
256,train,tt2040537,0012,MS,2,Push,1,33.0,24.0,1.4,1080.0,1920.0,3
257,train,tt2040537,0018,ECS,0,Static,4,47.0,24.0,2.0,1080.0,1920.0,3
258,train,tt2040537,0023,FS,3,Static,4,50.0,24.0,2.1,1080.0,1920.0,3
259,train,tt2040537,0033,MS,2,Static,4,25.0,24.0,1.0,1080.0,1920.0,3
260,train,tt2040537,0045,ECS,0,Motion,0,31.0,24.0,1.3,1080.0,1920.0,3
261,train,tt2041331,0005,CS,1,Static,4,19.0,24.0,0.8,1080.0,1920.0,3
262,train,tt2041331,0006,MS,2,Static,4,26.0,24.0,1.1,1080.0,1920.0,3
263,train,tt2041331,0041,MS,2,Static,4,139.0,24.0,5.8,1080.0,1920.0,3
264,train,tt2041331,0049,LS,4,Motion,0,41.0,24.0,1.7,1080.0,1920.0,3
265,train,tt2041331,0050,ECS,0,Static,4,30.0,24.0,1.2,1080.0,1920.0,3
266,train,tt2041331,0062,ECS,0,Motion,0,17.0,24.0,0.7,1080.0,1920.0,3
267,train,tt2041331,0068,ECS,0,Static,4,39.0,24.0,1.6,1080.0,1920.0,3
268,train,tt2042449,0004,CS,1,Static,4,24.0,24.0,1.0,720.0,1280.0,3
269,train,tt2042449,0015,CS,1,Static,4,24.0,24.0,1.0,720.0,1280.0,3
270,train,tt2042449,0024,LS,4,Motion,0,23.0,24.0,1.0,720.0,1280.0,3
271,train,tt2042449,0025,FS,3,Static,4,36.0,24.0,1.5,720.0,1280.0,3
272,train,tt2042449,0046,FS,3,Static,4,19.0,24.0,0.8,720.0,1280.0,3
273,train,tt2042520,0010,MS,2,Static,4,19.0,24.0,0.8,1080.0,1920.0,3
274,train,tt2042520,0024,MS,2,Static,4,29.0,24.0,1.2,1080.0,1920.0,3
275,train,tt2042544,0010,CS,1,Static,4,17.0,24.0,0.7,720.0,1280.0,3
276,train,tt2042544,0027,ECS,0,Static,4,28.0,24.0,1.2,720.0,1280.0,3
277,train,tt2042544,0028,FS,3,Static,4,48.0,24.0,2.0,720.0,1280.0,3
278,train,tt2042544,0057,FS,3,Motion,0,31.0,24.0,1.3,720.0,1280.0,3
279,train,tt2042544,0077,MS,2,Motion,0,28.0,24.0,1.2,720.0,1280.0,3
280,train,tt2042544,0078,FS,3,Static,4,20.0,24.0,0.8,720.0,1280.0,3
281,train,tt2042544,0097,FS,3,Static,4,29.0,24.0,1.2,720.0,1280.0,3
282,train,tt2042559,0013,ECS,0,Static,4,28.0,24.0,1.2,720.0,1280.0,3
283,train,tt2042559,0021,CS,1,Static,4,71.0,24.0,3.0,720.0,1280.0,3
284,train,tt2042559,0035,FS,3,Static,4,19.0,24.0,0.8,720.0,1280.0,3
285,train,tt2042568,0007,MS,2,Static,4,22.0,24.0,0.9,1080.0,1920.0,3
286,train,tt2042568,0009,MS,2,Static,4,18.0,24.0,0.8,1080.0,1920.0,3
287,train,tt2042568,0025,FS,3,Static,4,42.0,24.0,1.8,1080.0,1920.0,3
288,train,tt2042568,0042,MS,2,Static,4,139.0,24.0,5.8,1080.0,1920.0,3
289,train,tt2042568,0052,MS,2,Static,4,58.0,24.0,2.4,1080.0,1920.0,3
290,train,tt2042568,0061,CS,1,Static,4,34.0,24.0,1.4,1080.0,1920.0,3
291,train,tt2043822,0045,FS,3,Motion,0,17.0,24.0,0.7,1080.0,1920.0,3
292,train,tt2043865,0069,FS,3,Motion,0,71.0,30.0,2.4,1080.0,1920.0,3
293,train,tt2043865,0088,LS,4,Static,4,21.0,30.0,0.7,1080.0,1920.0,3
294,train,tt2043893,0001,FS,3,Static,4,196.0,30.0,6.5,1080.0,1920.0,3
